	Max Count	Average Count	Max Depth	Average Depth	Max Travel Depth	Average Travel Depth
	160,0000	160,0000	10,0000	10,0000	9,0000	4,0000	

	Flat cached	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
	Flat cold	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
	Naive Pointer	0,9309	1,5515	1,5515	2,1721	2,7927	3,1030	4,0339	4,6545	4,9648	5,5854	7,7574	8,9986	
	Pooled Pointer	1,2412	1,8618	2,1721	2,4824	3,1030	3,7236	4,9648	5,5854	6,2059	7,1368	8,3780	8,9986	
	Naive Multiway	0,6206	0,9309	1,2412	1,5515	1,8618	2,1721	3,1030	3,7236	3,7236	4,3442	4,6545	5,2751	
	Pooled Multiway	0,6206	0,9309	0,9309	1,2412	1,5515	1,5515	2,4824	3,1030	3,4133	3,7236	4,0339	4,6545	

	Count	5	10	15	20	30	45	70	85	100	120	140	160	
Find count	Flat	0,3103	0,3103	0,3103	0,3103	0,3103	0,3103	0,3103	0,3103	0,3103	0,3103	0,3103	0,3103	
	Flat cached	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
	Flat cold	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
	Naive Pointer	0,9309	1,2412	1,5515	1,8618	2,4824	3,1030	3,7236	4,3442	4,9648	5,5854	7,4471	8,9986	
	Pooled Pointer	0,9309	1,5515	2,4824	2,4824	2,7927	3,7236	4,6545	5,5854	5,8957	6,8265	8,0677	8,6883	
	Naive Multiway	0,6206	0,9309	1,2412	1,5515	1,8618	2,4824	3,4133	4,0339	4,3442	4,9648	5,2751	6,2059	
	Pooled Multiway	0,6206	0,9309	0,9309	1,2412	1,2412	1,5515	2,4824	3,1030	3,4133	3,7236	4,3442	4,6545	

	Count	5	10	15	20	30	45	70	85	100	120	140	160	
Traveled depth average	Flat	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	
	Flat cached	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
	Flat cold	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
	Naive Pointer	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	
	Pooled Pointer	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	
	Naive Multiway	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	
	Pooled Multiway	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	

	Count	5	10	15	20	30	45	70	85	100	120	140	160	
Travel depth max	Flat	4	4	5	5	6	7	7	8	8	8	9	9	
	Flat cached	0	0	0	0	0	0	0	0	0	0	0	0	
	Flat cold	0	0	0	0	0	0	0	0	0	0	0	0	
	Naive Pointer	4	4	5	5	6	7	7	8	8	8	9	9	
	Pooled Pointer	4	4	5	5	6	7	7	8	8	8	9	9	
	Naive Multiway	4	4	5	5	6	7	7	8	8	8	9	9	
