	Max Count	Average Count	Max Depth	Average Depth	Max Travel Depth	Average Travel Depth
	25000,0000	25000,0000	17,0000	127500,0000	72282,0000	4,8188	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Add	Flat	1,2509	1,2867	1,2995	1,3632	1,4626	1,6376	1,8471	2,8090	3,8103	5,7624	16,8943	
	Flat cached	1,5000	1,5279	1,5219	1,5712	1,6347	1,7755	2,0080	2,9374	3,9100	5,8992	16,7593	
	Flat cold	4,6428	4,7139	4,8577	5,2120	6,6451	8,2739	11,1022	19,2780	33,0723	62,6304	157,6319	
	Naive Pointer	3,8316	3,9562	4,0198	4,1211	4,1604	4,2184	4,2630	4,2445	4,1916	4,2081	4,2404	
	Pooled Pointer	0,8295	0,9030	0,9405	1,0118	1,0942	1,1249	1,3147	1,6681	2,0237	2,3091	2,3083	
	Naive Multiway	2,9775	2,9875	3,0027	3,0568	3,0343	3,0716	3,0746	3,0178	3,0305	3,0153	2,9952	
	Pooled Multiway	0,5676	0,6271	0,6474	0,6787	0,6920	0,6937	0,7061	0,7483	0,7432	0,7155	0,7076	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Erase	Flat	1,0410	1,1324	1,1643	1,2808	1,3925	1,5929	1,9911	3,2724	5,2574	9,7021	20,7229	
	Flat cached	1,0381	1,1389	1,1769	1,2503	1,4285	1,6565	2,1212	3,4193	5,3084	9,5949	20,7409	
	Flat cold	1,0715	1,1212	1,1914	1,2386	1,3876	1,6164	2,1508	3,2855	5,3584	9,3644	20,6875	
	Naive Pointer	3,6231	3,7008	3,9491	4,0590	4,2378	4,4014	4,7979	4,4109	4,5674	5,0156	4,4672	
	Pooled Pointer	0,9866	1,0550	1,1512	1,2956	1,3640	1,4690	1,7260	1,5772	1,6533	1,7085	1,4969	
	Naive Multiway	3,1977	3,6704	4,3241	5,7963	8,9582	15,0124	21,2185	34,1172	57,0144	110,4381	263,6735	
	Pooled Multiway	0,7931	1,2221	1,4747	2,0492	3,4242	5,4610	9,9163	21,3337	43,5793	93,1681	247,2762	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Move	Flat	1,6304	1,9334	1,9837	2,1176	2,2819	2,4604	2,6869	3,4736	4,6905	7,1469	13,5058	
	Flat cached	1,7519	1,9602	2,0674	2,1838	2,3655	2,5442	2,7820	3,5100	4,5506	6,8407	13,3023	
	Flat cold	4,7755	5,0661	5,3451	6,0961	7,6867	10,2321	15,3281	30,9267	60,4191	121,9748	301,6683	
	Naive Pointer	2,1154	2,5193	2,8289	2,9276	3,0011	3,2071	3,2930	3,2603	3,1383	3,1502	3,1896	
	Pooled Pointer	1,1545	1,1379	1,2265	1,3145	1,4141	1,3988	1,6238	1,9653	2,2992	2,5497	2,6192	
	Naive Multiway	1,0293	1,7541	2,7405	4,6529	9,3304	18,1680	27,1667	44,8852	76,7228	141,7408	332,5242	
	Pooled Multiway	0,8070	1,2236	1,6171	2,3573	4,0840	6,6290	12,0311	27,5516	58,3380	120,2078	321,3363	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Nth Node	Flat	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
	Flat cached	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
	Flat cold	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
	Naive Pointer	0,7689	1,0766	1,5386	2,3108	4,5146	7,4137	13,6432	26,4305	53,0829	105,5088	193,8881	
	Pooled Pointer	0,7349	1,0711	1,5592	2,6081	5,2458	9,0641	18,6542	38,6599	76,6552	136,1937	259,8019	
	Naive Multiway	0,5591	0,8242	1,1900	1,9789	4,1933	7,6501	13,8643	21,7153	38,8226	75,6505	125,0687	
	Pooled Multiway	0,4944	0,7119	0,9459	1,4528	2,8032	4,4961	8,5656	16,9474	36,8227	66,7559	134,3199	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Leaf travel	Flat	0,8753	1,1351	1,3025	1,4292	1,6609	2,0507	2,8738	4,9304	8,0927	14,6926	36,5862	
	Flat cached	0,9028	0,9625	1,0006	1,0655	1,1776	1,2666	1,3905	1,6139	1,6691	1,8869	2,1898	
	Flat cold	4,4075	4,4752	4,5539	4,7540	5,1189	5,7557	6,8095	10,5601	20,5258	40,5780	97,9799	
	Naive Pointer	1,2441	1,3175	1,3625	1,2977	1,3733	1,4452	1,4559	1,6086	1,6748	1,6832	1,6911	
	Pooled Pointer	1,2446	1,3032	1,3769	1,4079	1,5534	1,5912	1,5733	1,7391	1,7540	1,7852	1,8223	
	Naive Multiway	1,0135	1,1813	1,2968	1,4835	1,6261	1,9036	1,9589	2,3994	2,5927	2,8857	3,3341	
	Pooled Multiway	0,9708	1,0670	1,1914	1,3473	1,5964	1,7344	1,9461	2,3524	2,5808	2,7488	3,1726	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Find max depth	Flat	0,3681	0,3132	0,2969	0,2978	0,3499	0,4069	0,5602	0,9995	1,4163	2,4565	5,5171	
	Flat cached	0,3876	0,3213	0,3164	0,3060	0,3509	0,4543	0,5886	0,9276	1,4411	2,5742	5,3919	
	Flat cold	0,3962	0,3202	0,3193	0,3015	0,3595	0,4468	0,5713	0,8852	1,3820	2,4344	5,3007	
	Naive Pointer	1,4990	1,9713	3,1974	4,9618	10,1080	17,8116	32,6197	67,7466	126,3046	243,8754	600,9964	
	Pooled Pointer	1,3285	2,0101	2,9471	5,1278	10,8744	20,5963	45,1977	106,3240	191,7819	335,5438	837,4348	
	Naive Multiway	0,8651	1,7206	2,9459	5,5507	12,6901	25,6269	38,3631	67,8413	119,2943	216,3216	497,2511	
	Pooled Multiway	0,5945	1,1249	1,6009	2,6342	5,3368	9,1921	17,9021	43,3491	96,3028	185,9678	499,3290	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Find count	Flat	0,2204	0,2124	0,2054	0,2085	0,2139	0,2060	0,2150	0,2239	0,2232	0,2082	0,2153	
	Flat cached	0,2162	0,2055	0,2062	0,2166	0,2136	0,2129	0,2213	0,2158	0,2263	0,2250	0,2092	
	Flat cold	0,2280	0,2136	0,2069	0,2071	0,2157	0,2080	0,2153	0,2177	0,2173	0,2140	0,2164	
	Naive Pointer	1,4331	1,9568	3,0586	4,6092	9,2591	16,2886	29,5146	62,2209	115,5904	223,6071	552,0299	
	Pooled Pointer	1,3176	1,9368	2,8486	4,7673	9,9507	18,5834	40,0859	93,7230	169,8686	299,1737	747,4511	
	Naive Multiway	0,9438	1,7656	2,9975	5,7390	13,3543	27,0287	42,8348	79,4241	140,9866	252,0859	585,1366	
	Pooled Multiway	0,6320	1,1379	1,5965	2,7421	5,5631	9,6387	19,3409	48,7683	113,6377	217,5883	599,3226	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Traveled depth average	Flat	3,7495	4,0436	4,1192	3,9784	4,2314	4,3257	4,3307	4,6618	4,7498	4,7645	4,8188	
	Flat cached	3,7495	4,0436	4,1192	3,9784	4,2314	4,3257	4,3307	4,6618	4,7498	4,7645	4,8188	
	Flat cold	3,7495	4,0436	4,1192	3,9784	4,2314	4,3257	4,3307	4,6618	4,7498	4,7645	4,8188	
	Naive Pointer	3,7495	4,0436	4,1192	3,9784	4,2314	4,3257	4,3307	4,6618	4,7498	4,7645	4,8188	
	Pooled Pointer	3,7495	4,0436	4,1192	3,9784	4,2314	4,3257	4,3307	4,6618	4,7498	4,7645	4,8188	
	Naive Multiway	3,7495	4,0436	4,1192	3,9784	4,2314	4,3257	4,3307	4,6618	4,7498	4,7645	4,8188	
	Pooled Multiway	3,7495	4,0436	4,1192	3,9784	4,2314	4,3257	4,3307	4,6618	4,7498	4,7645	4,8188	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Travel depth max	Flat	4	6	7	8	8	9	9	11	12	11	13	
	Flat cached	4	6	7	8	8	9	9	11	12	11	13	
	Flat cold	4	6	7	8	8	9	9	11	12	11	13	
	Naive Pointer	4	6	7	8	8	9	9	11	12	11	13	
	Pooled Pointer	4	6	7	8	8	9	9	11	12	11	13	
	Naive Multiway	4	6	7	8	8	9	9	11	12	11	13	
	Pooled Multiway	4	6	7	8	8	9	9	11	12	11	13	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Transform mult first	Flat	0,7787	0,9185	1,2147	1,6957	3,1821	5,8846	11,6839	37,4502	76,9472	136,6670	337,7232	
	Flat cached	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
	Flat cold	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
	Naive Pointer	1,5255	2,3749	3,8832	6,1622	12,6166	22,8603	48,8142	99,6859	178,0083	349,1299	850,9175	
	Pooled Pointer	1,3333	2,2681	3,8154	6,5402	13,8032	26,2983	55,2318	143,4364	254,8915	472,3647	1166,4669	
	Naive Multiway	1,2201	2,3762	4,3015	8,0395	17,7944	36,1357	53,8140	101,6688	188,0504	330,0477	755,2932	
	Pooled Multiway	0,8274	1,5038	2,3142	3,9491	8,2448	15,2103	28,5061	67,1289	142,8927	279,5171	735,1449	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Transform mult last	Flat	0,1091	0,2482	0,4625	0,9172	2,3538	4,7300	9,2320	23,4743	46,8207	106,9244	238,2612	
	Flat cached	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
	Flat cold	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
	Naive Pointer	0,9473	3,5269	3,4597	2,9755	5,3825	8,7181	23,8794	64,6663	139,3108	247,5358	665,6388	
	Pooled Pointer	0,8894	2,8502	3,6222	4,3252	5,7247	8,2544	19,0502	62,0119	129,6524	258,7292	723,2052	
	Naive Multiway	0,8126	1,3055	4,2209	4,8714	7,6691	11,5868	18,6025	61,2123	137,5199	261,8208	733,8657	
	Pooled Multiway	0,7999	1,2543	2,3302	4,3258	7,1286	10,5187	18,6345	49,6351	113,2780	244,6574	733,4393	
