	Max Count	Average Count	Max Depth	Average Depth	Max Travel Depth	Average Travel Depth
	25000,0000	25000,0000	17,0000	17,0000	13,0000	5,0000	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
	Flat cached	1,5991	1,9189	1,9189	1,9189	1,9189	2,2387	2,5585	2,8783	3,8378	5,7567	10,8737	0,6396	0,9594	1,5991	1,5991	1,5991	1,9189	1,9189	1,9189	2,2387	2,5585	3,1981	2,2387	2,2387	2,5585	2,5585	2,8783	2,8783	3,5180	4,7972	7,6755	13,4322	28,1436	
	Flat cold	4,1576	4,4774	5,1170	5,4368	7,0359	9,5944	14,3916	30,0625	60,1251	120,8897	301,2649	3,1981	3,8378	4,4774	5,1170	6,3963	8,9548	13,7520	28,4635	56,9269	114,4935	285,9138	4,7972	5,1170	5,4368	5,7567	7,6755	10,5539	15,3511	33,9003	70,9987	136,2408	332,6067	
	Naive Pointer	1,2793	1,5991	3,1981	3,5180	3,5180	3,5180	3,5180	3,5180	3,5180	3,5180	3,5180	0,9594	0,9594	0,9594	0,9594	0,9594	0,9594	1,2793	1,2793	1,2793	1,2793	1,2793	3,8378	4,1576	4,1576	4,4774	4,4774	5,1170	5,1170	4,7972	4,7972	4,7972	4,7972	
	Pooled Pointer	0,9594	0,9594	0,9594	1,2793	1,2793	1,2793	1,2793	1,2793	1,5991	1,5991	1,5991	0,9594	0,9594	0,9594	0,9594	0,9594	0,9594	0,9594	0,9594	0,9594	0,9594	0,9594	1,2793	1,2793	1,5991	1,5991	1,5991	1,5991	1,9189	4,1576	4,7972	4,4774	4,7972	
	Naive Multiway	0,9594	1,5991	2,5585	4,1576	10,5539	15,3511	22,0672	41,8957	75,7960	140,3984	374,1826	0,6396	0,9594	1,5991	2,2387	5,4368	7,9954	11,8331	23,3464	42,8551	81,2328	211,0773	1,2793	2,2387	3,5180	5,4368	13,1124	18,5492	26,5446	51,1703	90,8272	171,1006	533,7698	
	Pooled Multiway	0,6396	0,9594	1,2793	2,2387	4,1576	6,7161	12,1529	27,8238	59,8052	125,0473	326,8501	0,3198	0,6396	0,9594	1,5991	3,1981	5,4368	9,5944	20,4681	39,3371	74,5167	181,6544	0,9594	1,2793	1,9189	3,1981	5,1170	7,6755	14,0718	32,6210	71,9582	162,7854	430,1500	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Nth Node	Flat	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
	Flat cached	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
	Flat cold	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
	Naive Pointer	0,6396	0,9594	1,2793	1,9189	3,8378	6,7161	11,1935	21,7474	38,0579	68,7600	149,0334	0,0000	0,3198	0,3198	0,6396	0,9594	1,2793	1,9189	2,5585	5,1170	16,9501	26,8644	1,2793	1,5991	2,5585	4,4774	9,2746	16,9501	30,7022	69,3997	126,9662	245,2975	577,9042	
