	Max Count	Average Count	Max Depth	Average Depth	Max Travel Depth	Average Travel Depth
	100,0000	100,0000	9,0000	9000,0000	7977,0000	3,9885	

	Count	5	8	10	13	17	22	28	39	55	77	89	100	
Add	Flat	1,2288	1,2727	1,2867	1,2722	1,2833	2,0022	3,0257	2,2314	2,2563	2,4228	2,6297	2,2162	
	Flat cached	2,2365	2,3321	2,3014	2,4819	2,4521	2,4079	2,1493	2,5195	2,1259	2,4666	2,5551	3,1615	
	Flat cold	8,1600	7,8332	7,9822	8,9247	8,4612	10,2243	8,8330	9,3561	9,7882	10,7738	10,5282	9,7644	
	Naive Pointer	5,5318	5,1594	5,2095	5,3048	5,8726	7,2567	6,9941	7,1043	6,9317	6,4731	4,0861	3,4771	
	Pooled Pointer	0,9169	1,0541	1,0685	1,1057	1,2334	1,2218	1,1848	1,2056	1,2196	1,2448	1,2553	1,2802	
	Naive Multiway	2,4258	2,4558	2,4793	2,3404	2,3817	2,4932	2,4622	2,4598	2,5051	2,4862	2,4593	2,4596	
	Pooled Multiway	0,7595	0,8387	0,8175	0,8603	0,9016	0,8442	0,8846	0,8879	0,8991	0,9219	0,9384	0,9275	

	Count	5	8	10	13	17	22	28	39	55	77	89	100	
Erase	Flat	0,9543	0,9227	0,9190	0,9461	1,0433	1,5941	1,7793	2,1245	2,3772	2,0729	2,2471	2,2626	
	Flat cached	1,5265	1,5011	1,6624	1,6654	1,5608	1,7289	1,4914	1,8181	1,6957	2,0230	2,3328	2,3698	
	Flat cold	1,7183	1,5842	1,7482	6,5521	2,1504	1,9599	2,0250	2,0205	2,8183	2,3165	2,3977	2,1050	
	Naive Pointer	5,0175	5,6551	5,2477	5,1987	5,1890	6,0784	8,3303	6,7543	6,1318	5,5896	3,7694	3,4822	
	Pooled Pointer	0,8006	1,0512	1,0039	1,0968	1,1383	1,2093	1,3957	1,4070	1,3734	1,4695	1,5097	1,4893	
	Naive Multiway	2,6003	2,7349	2,9957	2,8242	2,9110	3,1276	3,3366	3,5780	3,6446	4,2689	4,1415	4,2837	
	Pooled Multiway	0,4685	0,6471	0,6594	0,9442	0,9908	1,1527	1,2299	1,3528	1,6345	1,9456	2,1623	2,2326	

	Count	5	8	10	13	17	22	28	39	55	77	89	100	
Move	Flat	1,2443	1,7377	1,7315	1,7361	1,8975	2,6541	3,9522	4,1169	3,7287	3,8298	3,7618	3,9783	
	Flat cached	2,0324	3,3776	2,5956	3,0688	4,0152	3,1961	2,8920	3,1837	3,1909	3,3923	3,4846	5,6387	
	Flat cold	6,8296	7,3897	8,3315	11,4732	12,7858	17,6301	13,2300	11,8766	11,4541	11,1370	10,4057	11,4692	
	Naive Pointer	2,2714	3,8492	3,3574	4,4109	4,3318	3,8818	4,5117	4,9648	4,8644	6,4732	3,2133	2,9047	
	Pooled Pointer	1,3358	1,4429	1,4537	1,5763	1,4072	1,4760	1,5236	1,5111	1,5153	1,5387	1,5618	1,6952	
	Naive Multiway	0,8533	0,9961	1,0364	1,1295	1,1683	1,3850	1,6073	1,7865	2,1338	2,6709	2,9082	3,1477	
	Pooled Multiway	0,8161	0,8440	0,9386	0,9293	1,0519	1,1926	1,3084	1,4964	1,8313	2,3330	2,4796	2,6940	

	Count	5	8	10	13	17	22	28	39	55	77	89	100	
Nth Node	Flat	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
	Flat cached	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
	Flat cold	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
	Naive Pointer	0,8725	1,0760	1,1187	1,5043	1,4320	1,9517	2,2481	2,6942	3,1634	3,5183	2,6456	2,6110	
	Pooled Pointer	0,7330	0,8783	0,9661	1,0650	1,2052	1,4102	1,5488	1,8670	2,1568	2,4590	2,7545	3,0268	
	Naive Multiway	0,6097	0,6998	0,7283	0,8633	0,9397	1,0436	1,1662	1,2685	1,4224	1,6687	1,7670	1,8751	
	Pooled Multiway	0,6579	0,7533	0,7813	0,8434	0,9233	0,9837	1,0877	1,1599	1,3276	1,5867	1,6707	1,7955	

	Count	5	8	10	13	17	22	28	39	55	77	89	100	
Leaf travel	Flat	0,8999	0,9449	0,9386	1,0436	1,1411	2,0101	1,8861	2,1748	2,1715	2,0580	2,2760	2,1811	
	Flat cached	1,2846	1,4894	1,5623	1,6963	1,5802	1,7799	1,5158	1,7198	1,6818	1,8335	2,0940	2,1243	
	Flat cold	6,9289	6,8234	7,6318	10,0723	11,4585	12,6117	10,8009	11,4899	10,9230	9,8845	10,6656	8,7136	
	Naive Pointer	1,7501	1,7113	1,7516	1,8938	1,6477	2,3024	2,2481	2,3998	2,3329	2,1027	1,5991	1,5960	
	Pooled Pointer	1,0860	1,1884	1,3808	1,4367	1,4119	1,7271	1,7206	1,7485	1,6798	1,6649	1,7009	1,6058	
	Naive Multiway	0,9992	1,0364	1,1822	1,2639	1,2420	1,3994	1,3798	1,6527	1,5258	1,7326	1,7623	1,7395	
	Pooled Multiway	0,8875	0,8797	1,0379	1,1615	1,1528	1,3020	1,3322	1,4440	1,4872	1,6413	1,6660	1,6478	

	Count	5	8	10	13	17	22	28	39	55	77	89	100	
Find max depth	Flat	0,3444	0,2606	0,2979	0,4484	0,3817	0,4954	0,5130	0,4794	0,5342	0,5539	0,6999	0,6957	
	Flat cached	0,4779	0,5337	0,4034	0,5741	0,5523	0,5554	0,5296	0,5973	0,6444	0,6051	0,5782	0,6209	
	Flat cold	0,5772	0,5058	0,5120	0,5585	0,7168	0,6640	0,6144	0,6105	0,6299	0,6299	0,6196	0,6439	
	Naive Pointer	1,3126	1,4894	2,1783	2,4358	2,7554	3,7939	4,7217	5,4868	6,3942	9,1511	5,1278	4,9185	
	Pooled Pointer	0,7975	1,0519	1,2598	1,6322	1,8432	2,2197	2,5579	3,3419	3,7122	4,7243	5,1196	5,6645	
	Naive Multiway	0,6175	0,6920	0,9030	1,1419	1,2334	1,4812	1,7708	2,0674	2,3096	3,1538	3,4205	3,6901	
	Pooled Multiway	0,4189	0,5958	0,6175	0,9542	1,0054	1,3260	1,4098	1,5771	1,9383	2,5665	2,7330	2,9336	

	Count	5	8	10	13	17	22	28	39	55	77	89	100	
Find count	Flat	0,2141	0,2358	0,2017	0,2855	0,2544	0,3093	0,5285	0,2901	0,3217	0,3378	0,3748	0,4186	
	Flat cached	0,3010	0,3475	0,2855	0,3460	0,2839	0,3889	0,3599	0,3933	0,4282	0,3883	0,3930	0,3730	
	Flat cold	0,3289	0,3351	0,3103	0,3165	0,4313	0,3982	0,3920	0,3949	0,3667	0,3871	0,3865	0,4186	
	Naive Pointer	1,1481	1,4708	2,1504	2,3598	2,5879	4,3876	4,9772	5,5148	7,0417	7,1078	4,9641	4,8211	
	Pooled Pointer	0,7944	1,0891	1,2939	1,5794	1,8602	2,2703	2,5775	3,3559	3,5333	4,4074	4,9537	5,5146	
	Naive Multiway	0,5244	0,7106	1,0147	1,2164	1,3079	1,4822	1,8711	2,1527	2,5558	3,6584	3,7894	4,2160	
	Pooled Multiway	0,4003	0,6051	0,6237	0,9293	1,0131	1,3095	1,4977	1,6896	1,9776	2,6461	2,8668	3,0664	

	Count	5	8	10	13	17	22	28	39	55	77	89	100	
Traveled depth average	Flat	4,0000	2,7900	3,7100	3,6200	3,0925	4,3580	4,0550	4,5325	4,1945	4,4938	4,3922	3,9885	
	Flat cached	4,0000	2,7900	3,7100	3,6200	3,0925	4,3580	4,0550	4,5325	4,1945	4,4938	4,3922	3,9885	
	Flat cold	4,0000	2,7900	3,7100	3,6200	3,0925	4,3580	4,0550	4,5325	4,1945	4,4938	4,3922	3,9885	
