	Max Count	Average Count	Max Depth	Average Depth	Max Travel Depth	Average Travel Depth
	25000,0000	25000,0000	67,0000	350000,0000	55952,0000	3,7301	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Add	Flat	1,2165	1,2460	1,2489	1,2645	1,3424	1,4506	1,7170	2,4021	3,5863	5,9054	12,4582	
	Flat cached	1,1460	1,1621	1,1511	1,1799	1,2601	1,3732	1,6153	2,3248	3,4822	5,8114	12,3721	
	Flat cold	1,1397	1,1410	1,1744	1,1790	1,2412	1,4116	1,6329	2,3579	3,5130	5,8179	12,3556	
	Naive Pointer	3,5475	3,5042	3,6761	3,7323	3,7574	3,8271	3,8287	3,8234	3,8273	3,8893	3,9878	
	Pooled Pointer	1,0503	1,0613	1,0494	1,0651	1,1130	1,0980	1,1678	1,3341	1,5678	1,8436	1,8693	
	Naive Multiway	2,6146	2,6039	2,7017	2,7856	2,8256	2,8438	2,8688	2,8334	2,8567	2,8617	2,8847	
	Pooled Multiway	0,4156	0,4169	0,4118	0,4195	0,4308	0,4284	0,4284	0,4405	0,4308	0,4365	0,4268	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Erase	Flat	1,0549	1,1579	1,1909	1,2721	1,4172	1,6633	2,0993	3,1808	5,3217	9,1985	21,1428	
	Flat cached	1,0732	1,1480	1,2091	1,2753	1,4170	1,6353	2,0780	3,2128	5,3936	9,2672	21,6630	
	Flat cold	1,0955	1,1425	1,2249	1,3067	1,4283	1,6600	2,0389	3,3281	5,5376	9,2266	21,2623	
	Naive Pointer	3,1520	3,2369	3,6046	3,8717	4,1531	4,4427	5,0851	6,4920	6,0127	6,3566	8,0830	
	Pooled Pointer	0,8511	0,9513	0,9926	1,1691	1,3126	1,4083	1,6878	2,4315	2,2021	2,2322	3,1558	
	Naive Multiway	2,6582	2,9388	3,6756	4,4504	6,9034	10,2160	16,1782	37,9526	86,1926	176,2753	421,4136	
	Pooled Multiway	0,5252	0,7807	1,0957	1,7589	3,3652	5,6586	10,4634	26,0604	61,9089	142,5283	355,4676	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Move	Flat	1,8891	1,9634	2,0280	2,0744	2,2650	2,3827	2,6881	3,3307	4,5653	6,8645	13,4406	
	Flat cached	1,9075	2,0057	2,0590	2,1218	2,2594	2,3942	2,6483	3,3500	4,5536	6,8330	13,4044	
	Flat cold	4,7724	5,0872	5,3626	5,8748	7,2737	9,6484	14,2519	28,5521	57,1980	117,0639	294,1772	
	Naive Pointer	2,2206	2,3054	2,6125	2,3328	2,5603	2,4705	2,5957	2,5519	2,5773	2,6690	2,6695	
	Pooled Pointer	0,9550	1,0110	1,0049	1,0412	1,1462	1,1710	1,2843	1,5094	1,7553	2,0861	2,0704	
	Naive Multiway	0,5821	0,9793	1,7802	2,8593	5,9089	10,3779	17,8847	46,7731	120,7977	250,1572	633,6850	
	Pooled Multiway	0,4425	0,7471	1,1330	2,0120	3,8846	6,6738	12,1519	32,0645	83,0356	196,8384	517,1582	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Nth Node	Flat	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
	Flat cached	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
	Flat cold	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
	Naive Pointer	0,6676	0,9422	1,3452	2,0913	4,2658	7,8711	15,9430	41,9774	83,4358	169,7775	431,2518	
	Pooled Pointer	0,6551	0,9576	1,2892	2,0838	4,4455	8,2070	17,0264	42,4619	83,7409	167,6486	431,6838	
	Naive Multiway	0,5850	0,8165	1,1892	1,8421	3,6177	6,3942	11,2266	28,4316	65,5988	138,3974	353,4236	
	Pooled Multiway	0,5479	0,7441	0,9793	1,5863	2,9852	5,1201	9,2874	21,8503	57,6933	121,0071	315,4157	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Leaf travel	Flat	0,8270	1,1590	1,2714	1,4072	1,6113	1,9944	2,5805	4,3876	6,7936	12,2947	28,7229	
	Flat cached	0,8245	0,9189	0,9709	1,0274	1,0534	1,0750	1,1806	1,2457	1,2906	1,2737	1,3998	
	Flat cold	4,1589	4,3253	4,4221	4,6546	5,0474	5,5054	6,6782	10,6722	23,0341	46,4792	112,6597	
	Naive Pointer	1,1353	1,2203	1,3162	1,3715	1,4742	1,5070	1,5546	1,6434	1,6460	1,8374	1,8728	
	Pooled Pointer	1,1417	1,2556	1,3048	1,3607	1,5440	1,5836	1,6318	1,7445	1,7065	1,8746	1,9802	
	Naive Multiway	0,8664	1,0422	1,2439	1,4573	1,6757	1,7982	1,8820	2,2653	2,6633	2,5799	2,6646	
	Pooled Multiway	0,8090	0,9814	1,1096	1,3354	1,5860	1,6377	1,7657	2,1410	2,3628	2,3927	2,7181	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Find max depth	Flat	0,3224	0,3305	0,3318	0,3554	0,3871	0,4665	0,6383	0,9555	1,5897	2,4459	5,3984	
	Flat cached	0,3246	0,3200	0,3292	0,3520	0,4044	0,4767	0,6293	1,0824	1,5208	2,4337	5,2736	
	Flat cold	0,3342	0,3205	0,3270	0,3540	0,4108	0,4591	0,6405	0,9477	1,5395	2,3726	5,5152	
	Naive Pointer	1,0468	1,8394	3,1191	5,2306	11,5164	21,9538	52,9299	136,9769	275,2522	558,5280	1442,1674	
