	Max Count	Average Count	Max Depth	Average Depth	Max Travel Depth	Average Travel Depth
	25000,0000	25000,0000	84,0000	460000,0000	44871,0000	2,9914	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Add	Flat	1,2062	1,3174	1,3440	1,3409	1,4014	1,4997	1,6383	2,0655	2,5204	3,3480	6,1807	
	Flat cached	1,2742	1,3834	1,3372	1,3600	1,4321	1,4583	1,6338	2,0299	2,5425	3,4052	6,5193	
	Flat cold	2,0187	2,2952	2,4169	2,8234	4,0332	5,7597	9,8663	20,9226	40,2665	75,5675	189,3652	
	Naive	3,7562	3,7478	3,7286	3,8161	3,9016	3,9541	3,9675	4,0082	4,1358	4,1944	4,2308	
	Pooled	0,9047	0,9841	0,9811	1,0116	1,1924	1,2185	1,5683	2,1344	2,6390	2,8053	2,7833	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Erase	Flat	0,9933	1,0615	1,1129	1,1617	1,2741	1,3431	1,4536	1,9770	2,6722	3,9509	8,2446	
	Flat cached	1,0654	1,1094	1,1416	1,2187	1,2522	1,3316	1,4278	2,0232	2,7317	4,1755	8,4280	
	Flat cold	1,9593	2,1225	2,3365	2,8874	4,2380	6,3586	10,9133	23,9990	47,9338	104,1872	270,6203	
	Naive	3,3491	3,5435	3,6135	4,0566	4,8786	5,1599	6,2682	5,8143	6,6601	6,0081	9,5761	
	Pooled	1,0187	1,1572	1,2268	1,4434	1,7817	1,8814	2,3297	2,1058	2,4110	2,1224	3,7245	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Move	Flat	1,4574	1,6306	1,7331	1,8030	1,8595	1,9426	2,0308	2,3907	2,7961	3,5719	5,8191	
	Flat cached	1,5481	1,6946	1,7985	1,8689	1,9336	1,9429	2,1057	2,4591	2,8653	3,6500	6,1871	
	Flat cold	2,1033	2,3803	2,7201	3,4060	4,8546	7,0376	11,7311	26,1318	53,9057	113,5945	289,7399	
	Naive	2,4283	2,6815	2,7450	2,8754	2,9969	3,0002	2,9558	3,0611	3,0734	3,1097	3,1793	
	Pooled	1,2156	1,2281	1,2573	1,3238	1,4659	1,5092	1,7429	2,2241	2,6619	2,9289	2,9128	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Nth Node	Flat	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
	Flat cached	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
	Flat cold	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
	Naive	1,0520	1,4712	2,1843	3,4381	7,2643	13,2622	27,1491	67,8878	134,0238	238,7576	595,1151	
	Pooled	1,0047	1,6034	2,2085	3,5945	7,3765	13,5893	27,6104	65,0976	125,9365	222,3734	557,8805	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Leaf travel	Flat	0,6476	0,9429	1,0705	1,1723	1,5598	2,0204	3,4784	4,5174	8,3897	15,0191	38,5026	
	Flat cached	0,6142	0,7453	0,7071	0,8059	0,8126	0,8120	0,8497	0,7963	0,9940	1,0667	1,1082	
	Flat cold	1,7572	1,8071	1,9321	2,0592	2,3731	2,9979	4,2854	9,1050	21,4558	48,2863	123,0685	
	Naive	1,1339	1,1288	1,2239	1,3029	1,4317	1,4904	1,6587	1,3826	1,5974	1,3712	1,4585	
	Pooled	0,9151	1,0549	1,0973	1,1906	1,3327	1,2921	1,5172	1,1659	1,5004	1,1999	1,2787	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Find max depth	Flat	0,2798	0,3288	0,3614	0,3332	0,3839	0,4648	0,5793	1,0001	1,4064	2,4442	5,3369	
	Flat cached	0,2853	0,3303	0,3458	0,3226	0,3766	0,4759	0,5476	1,0073	1,3756	2,3448	5,3721	
	Flat cold	0,2945	0,3254	0,3508	0,3299	0,3839	0,4761	0,6325	0,9426	1,4059	2,5088	5,2976	
	Naive	1,1664	1,7745	2,9683	5,3940	11,6516	21,5373	49,4335	139,8617	289,5774	566,3752	1428,4605	
	Pooled	1,1187	2,0031	3,0738	5,6425	11,8955	23,1060	50,9204	130,9874	264,0344	515,6892	1309,3383	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Find count	Flat	0,2802	0,2989	0,3014	0,2983	0,2968	0,2888	0,2860	0,2849	0,2804	0,2841	0,2745	
	Flat cached	0,2664	0,3002	0,3052	0,3071	0,3010	0,2923	0,2830	0,2899	0,2843	0,2866	0,2820	
	Flat cold	0,2680	0,2908	0,3071	0,2991	0,2922	0,2942	0,2909	0,2784	0,2837	0,2826	0,2790	
	Naive	1,1190	1,6336	2,7530	4,8575	10,5650	19,5147	43,9921	124,8288	260,6573	500,5579	1272,1675	
	Pooled	1,0535	1,8306	2,8158	5,1321	10,8283	20,7214	45,6681	118,6028	236,8764	458,7459	1169,2106	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Traveled depth average	Flat	2,8315	2,8536	2,8652	3,0831	3,4448	3,4052	4,2257	2,9152	3,7004	2,6932	2,9914	
	Flat cached	2,8315	2,8536	2,8652	3,0831	3,4448	3,4052	4,2257	2,9152	3,7004	2,6932	2,9914	
	Flat cold	2,8315	2,8536	2,8652	3,0831	3,4448	3,4052	4,2257	2,9152	3,7004	2,6932	2,9914	
	Naive	2,8315	2,8536	2,8652	3,0831	3,4448	3,4052	4,2257	2,9152	3,7004	2,6932	2,9914	
	Pooled	2,8315	2,8536	2,8652	3,0831	3,4448	3,4052	4,2257	2,9152	3,7004	2,6932	2,9914	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Travel depth max	Flat	8	11	13	14	15	16	15	12	16	13	17	
	Flat cached	8	11	13	14	15	16	15	12	16	13	17	
	Flat cold	8	11	13	14	15	16	15	12	16	13	17	
	Naive	8	11	13	14	15	16	15	12	16	13	17	
	Pooled	8	11	13	14	15	16	15	12	16	13	17	

Transforms
	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
1st iteration	Flat	0,5526	0,7321	0,9575	1,4072	3,0382	5,3601	10,3172	24,5649	49,7950	98,1700	242,9304	
	Pooled	1,2041	2,0564	3,3069	6,0988	13,2595	24,7344	52,0209	145,5888	301,7634	613,4345	1608,0102	
	Naive	1,6845	2,6142	3,7489	6,3835	13,0980	33,3086	62,3445	152,6407	310,1489	631,7471	1630,8257	
10th iteration	Flat 10	0,0746	0,1994	0,4507	0,8893	2,2053	4,4890	9,0471	22,6036	45,6094	91,6450	227,5570	
	Pooled 10	0,1035	0,2648	0,5086	1,0414	2,6497	5,6571	12,2573	37,8871	94,3066	201,8680	567,4877	
	Naive 10	0,1116	0,2753	0,5346	1,0208	2,6585	5,7147	12,5435	39,8368	97,0035	205,9008	577,8713	
