	Max Count	Average Count	Max Depth	Average Depth	Max Travel Depth	Average Travel Depth
	25000,0000	25000,0000	78,0000	425000,0000	44939,0000	2,9959	

	Pooled	2,7515	2,8904	2,9694	3,1834	3,0730	3,1481	3,0520	3,0344	3,6656	3,8473	2,9959	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Travel depth max	Flat	8	10	13	15	12	16	15	16	18	14	17	
	Flat cached	8	10	13	15	12	16	15	16	18	14	17	
	Flat cold	8	10	13	15	12	16	15	16	18	14	17	
	Naive	8	10	13	15	12	16	15	16	18	14	17	
	Pooled	8	10	13	15	12	16	15	16	18	14	17	

Transforms
	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
1st iteration	Flat	0,5731	0,7883	1,1149	1,7174	3,5499	6,2396	12,4312	29,8034	59,8883	117,6339	290,6530	
	Pooled	1,2284	2,0628	3,4028	6,1612	13,2467	25,1150	52,6317	149,9510	303,4136	625,8817	1627,2885	
	Naive	1,6726	2,4738	3,8665	6,4586	19,4767	34,7573	62,4692	155,0840	315,5473	632,5594	1631,3374	
10th iteration	Flat 10	0,0900	0,2610	0,5375	1,0866	2,6692	5,3845	11,1179	27,8961	55,6820	111,3767	282,3906	
	Pooled 10	0,1136	0,2784	0,5270	1,0422	2,6980	5,8098	12,4000	39,4158	95,8849	208,3378	576,5960	
	Naive 10	0,1142	0,2700	0,5314	1,0486	2,8136	6,0469	12,8705	41,0813	99,0663	211,3464	594,3856	
